,src,dst,relationship,weight
253,902414532,92267156,call,447
254,11254526,92267156,call,896
255,11254526,92267156,call,335
256,311719264,92267156,call,430
257,311719264,92267156,call,241
258,11283738,92267156,call,724
259,11283738,92267156,call,21
260,11283832,92267156,call,94
261,11283832,92267156,call,751
262,11254171,92267156,call,737
263,11254171,92267156,call,723
264,668521861,92267156,call,615
265,902414532,11282843,call,678
266,902414532,11282843,call,670
267,11283138,11282843,call,836
268,11283138,11282843,call,510
269,531526145,11282843,call,428
270,531526145,11282843,call,556
271,11283738,11282843,call,23
272,11283738,11282843,call,32
273,137599961,11282843,call,23
274,273508404,11282843,call,51
275,11283832,11282843,call,76
276,11283832,11282843,call,310
277,11283138,758683115,call,39
278,11283138,758683115,call,640
279,11283264,758683115,call,3209
280,11283264,758683115,call,2522
281,748408215,758683115,call,101
282,137753751,758683115,call,978
283,137753751,758683115,call,1989
284,11282541,758683115,call,5366
285,11282541,758683115,call,154
286,1022648568,758683115,call,1113
287,1022648568,758683115,call,105
288,137671151,758683115,call,82
289,713229829,758683115,call,93
290,311719264,11254664,call,147
291,311719264,11254664,call,49
292,11255216,11254664,call,70
293,713229829,11254664,call,176
294,11282766,11254664,call,817
295,11282766,11254664,call,449
296,916965905,11254664,call,344
297,879711562,11254664,call,227
298,273508404,11254664,call,68
299,273508404,11254664,call,385
300,668521861,11254664,call,80
301,311719264,11255231,call,374
302,311719264,11255231,call,29
303,11283138,11255231,call,255
304,11283138,11255231,call,101
305,11283264,11255231,call,1393
306,11283264,11255231,call,2381
307,137753751,11255231,call,536
308,137753751,11255231,call,9
309,11282849,11255231,call,60
310,1022648568,11255231,call,1580
311,1022648568,11255231,call,2678
312,137671151,11255231,call,25
